NCT,Sentence,Subject,Predicate,Object,Source,Thoughts
NCT03020030,Acute lymphoblastic leukemia (ALL) is the most common cancer diagnosed in children,Acute lymphoblastic leukemia,PROCESS_OF,Child,UMLS,
NCT03020030,The cancer comes from a cell in the blood called a lymphocyte.,Lymphocyte,LOCATION_OF,Acute lymphoblastic leukemia,UMLS,
NCT03020030,"In ALL, the cancerous lymphocytes are called lymphoblasts. ",Lymphoblast morphology abnormal,ASSOCIATED_WITH,Acute lymphoblastic leukemia,UMLS,
NCT03020030,The standard treatment for ALL involves about 2 years of chemotherapy. ,Chemotherapy,TREATS,Acute lymphoblastic leukemia,UMLS,
NCT03020030,"This trial is studying the use of a new, updated set of risk factors to decide how strong the treatment will be.",Disease risk factor,ASSOCIATED_WITH,Protocol Treatment Arm,UMLS,"Not official UMLS relationship, not quite what sentence said but implied this"
NCT03020030,The study also will test a new way of dosing a chemotherapy drug called pegaspargase (which is part of the standard treatment for ALL) based on checking levels of the drug in the blood and adjusting the dose based on the levels.,PEGaspargase,TREATS,Acute lymphoblastic leukemia,UMLS,
NCT03020030,The study also will test a new way of dosing a chemotherapy drug called pegaspargase (which is part of the standard treatment for ALL) based on checking levels of the drug in the blood and adjusting the dose based on the levels.,Measurement of level of drug in blood,ASSESSES_EFFECT_OF,PEGaspargase,UMLS,
NCT03020030,"These risk factors include the child's age when the leukemia is diagnosed, how high the white blood cell count (WBC) is in the blood, whether or not leukemia cells are seen in the spinal fluid (referred to as Central Nervous System or CNS status), and whether or not the leukemia has certain abnormalities in their chromosomes (genetic material in the cell).",Age at diagnosis,ISA,Disease risk factor,UMLS,
NCT03020030,"These risk factors include the child's age when the leukemia is diagnosed, how high the white blood cell count (WBC) is in the blood, whether or not leukemia cells are seen in the spinal fluid (referred to as Central Nervous System or CNS status), and whether or not the leukemia has certain abnormalities in their chromosomes (genetic material in the cell).",White blood cell count laboratory result,ISA,Disease risk factor,UMLS,
NCT03020030,"These risk factors include the child's age when the leukemia is diagnosed, how high the white blood cell count (WBC) is in the blood, whether or not leukemia cells are seen in the spinal fluid (referred to as Central Nervous System or CNS status), and whether or not the leukemia has certain abnormalities in their chromosomes (genetic material in the cell).",CNS Leukemia at Diagnosis,ISA,Disease risk factor,UMLS,
NCT03020030,"These risk factors include the child's age when the leukemia is diagnosed, how high the white blood cell count (WBC) is in the blood, whether or not leukemia cells are seen in the spinal fluid (referred to as Central Nervous System or CNS status), and whether or not the leukemia has certain abnormalities in their chromosomes (genetic material in the cell).",Chromosome studies results leukemia,ISA,Disease risk factor,UMLS,Not official UMLS relationship; Subject is not NCI term
NCT03020030,"Another risk factor is the amount of leukemia in the marrow that can be measured by a special laboratory test called ""MRD"" (Minimal Residual Disease) after the first month of treatment.",Minimal residual diseaes response,ISA,Disease risk factor,UMLS,
NCT03020030,"These new risk factors include additional abnormalities in the genes of the leukemia cell, as well the amount of leukemia (MRD level) at second time point (about 2-3 months after starting treatment).",Cancer Gene Mutation,ISA,Disease risk factor,UMLS,Not official UMLS relationship
