PMID,Sentence,Subject,Predicate,Object,Source,Comments
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,"CART-19 is an atom of this UMLS concept; This is a semantic type [cell], would need to potentially add therapy or there is CAR T Cell Therapy but doesn't specify CD19; metamap picked up ""recurrent (relapsed)"", ""refractory"", and ""ALL"" as separate concepts; didn't put it together"
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,COMPARED_TO,Chemotherapy,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,ISA,Remission Induction Therapy,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,Chemotherapy,TREATS,Recurrent childhood acute lymphoblastic leukemia,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,Chemotherapy,TREATS,Refractory childhood acute lymphoblastic leukemia,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,Chemotherapy,ISA,Remission Induction Therapy,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,Remission Induction Therapy,PART_OF,relapse treatment,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,PART_OF,Case-control study,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,Chemotherapy,PART_OF,Case-control study,UMLS,
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,USES,Autologous CD19-28z Chimeric Antigen Receptor-expressing T-lymphocytes,UMLS,Not sure what 28z means and if this is totally right; also have CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte cells which is synonymous with CART-19 from NCI
29417201,CD19 targeted CAR-T therapy versus chemotherapy in re-induction treatment of refractory/relapsed acute lymphoblastic leukemia: results of a case-controlled study.,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,USES,CD19-Specific chimeric antigen receptor,UMLS,Couldn't find term specific for CD19 directed therapy; found CD19-specific chimeric antigen receptor but can't find relationship to say car t-cell therapy targeting this as predicate is labeled as biologic substance not pharmacologic substance
29417201,This study was designed to investigate the correlation between safety/efficacy and therapeutic modalities including chemotherapy and CART19 therapy.,Purpose of study,MEASURES,Identify product efficacy and safety issues,UMLS,
29417201,This study was designed to investigate the correlation between safety/efficacy and therapeutic modalities including chemotherapy and CART19 therapy.,Identify product efficacy and safety issues,ASSOCIATED_WITH,CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,UMLS,
29417201,This study was designed to investigate the correlation between safety/efficacy and therapeutic modalities including chemotherapy and CART19 therapy.,Identify product efficacy and safety issues,ASSOCIATED_WITH,Chemotherapy,UMLS,
29417201,"The complete remission (CR) rate was higher in the CART19 group than that in the chemotherapy group (90.9 vs 37.9%, P = 0.000).",CD19CAR-CD3zeta-4-1BB-expressing autologous T-lymphocytes,CAUSES,In complete remission,UMLS,need way to combine clinical and marrow complete response
