Section,Sentence,Subject,Predicate,Object,Source,Thoughts
Prognostic Factors,not included because of copyright,Response to treatment,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Evaluating response to treatment,ASSOCIATED_WITH,Remission induction therapy,UMLS,
Prognostic Factors,,Laboratory results,PART_OF,Prognostic factors,UMLS,
Prognostic Factors,,Clinical findings,PART_OF,Prognostic factors,UMLS,
Prognostic Factors,,Prognostic factors,AFFECT,Protocol treatment arm,UMLS,
Prognostic Factors,,Prognostic factors,AFFECT,*Childhood acute lymphoblsatic leukemia risk group*,UMLS,
Prognostic Factors,,White blood cell count laboratory result,ISA,Prognostic factors,UMLS,"For each of these, can do Childhood acute lymphoblastic leukemia *HAS_PROGNOSTIC_FACTOR* Age at diagnosis, etc."
Prognostic Factors,,Age at diagnosis,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Gender,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Race or ethnicity,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Alteration of genetic material,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Immunotype,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Extramedullary involvement,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Nutritional status,ISA,Prognostic factors,UMLS,
Prognostic Factors,,Childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,White blood cell count laboratory result,New,
Prognostic Factors,,Childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,Age at diagnosis,New,
Prognostic Factors,,Childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,Gender,New,
Prognostic Factors,,Childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,Race or ethnicity,New,
Prognostic Factors,,Childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,Alteration of genetic material,New,
Prognostic Factors,,Childhood acute lymphoblastic leukemia,*HAS_PROGNOSTIC_FACTOR*,Immunotype,New,
