NCT,Subject,Predicate,Object
NCT02227108,"Leukemia, B-Cell, Acute",PROCESS_OF,Participant
NCT02227108,"Leukemia, Lymphocytic, Acute, L1",PROCESS_OF,Participant
NCT02227108,B-Cell Lymphomas,PROCESS_OF,Participant
NCT02227108,lymphoblast,LOCATION_OF,B-Cell Lymphomas
NCT02227108,lymphoblast,LOCATION_OF,B-Cell Lymphomas
NCT03022747,6-Mercaptopurine,INTERACTS_WITH,Thioguanine
NCT03022747,6-Mercaptopurine,INTERACTS_WITH,6-methylthiopurine
NCT03022747,6-Mercaptopurine,ISA,Therapeutic procedure
NCT03022747,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03022747,Methotrexate,ISA,Therapeutic procedure
NCT03022747,Therapeutic procedure,USES,6-Mercaptopurine
NCT03022747,Therapeutic procedure,USES,Methotrexate
NCT03022747,Thiopurine S-Methyltransferase,PART_OF,"Leukemia, Lymphocytic, Acute"
NCT03022747,Allopurinol,TREATS,Toxic effect
NCT03022747,Liver,LOCATION_OF,Toxic effect
NCT03022747,Allopurinol,ISA,Therapeutic procedure
NCT03022747,Hemoglobin,ISA,Therapeutic procedure
NCT03022747,Hemoglobin,USES(SPEC),Allopurinol
NCT03022747,Therapeutic procedure,USES,Allopurinol
NCT03022747,Allopurinol,ISA,Therapeutic procedure
NCT03022747,Therapeutic procedure,USES,Allopurinol
NCT03022747,6-Mercaptopurine,ISA,Therapeutic procedure
NCT03022747,6-Mercaptopurine,TREATS(SPEC),"Leukemia, Lymphocytic, Acute, L1"
NCT03022747,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute, L1"
NCT03022747,Therapeutic procedure,USES,6-Mercaptopurine
NCT03022747,Maintenance therapy,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00991133,Cyclophosphamide,INTERACTS_WITH,clofarabine
NCT00991133,Etoposide,INTERACTS_WITH,clofarabine
NCT00991133,Vincristine,INTERACTS_WITH,clofarabine
NCT00991133,pegaspargase,INTERACTS_WITH,clofarabine
NCT00991133,pegaspargase,TREATS,Patients
NCT00991133,Treatment Protocols,USES,Pharmaceutical Preparations
NCT00991133,Cyclophosphamide,TREATS,Patients
NCT00991133,Cyclophosphamide,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00991133,Etoposide,TREATS,Patients
NCT00991133,Etoposide,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00991133,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00991133,Vincristine,TREATS,Patients
NCT00991133,Vincristine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00991133,pegaspargase,TREATS,Patients
NCT00991133,pegaspargase,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00991133,clofarabine,TREATS,Patients
NCT00991133,clofarabine,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT03390387,Intermittent administration,USES,Dexamethasone
NCT03390387,Induction,TREATS,Toxic effect
NCT03390387,"Leukemia, B-Cell, Acute",PROCESS_OF,Adolescent
NCT03390387,"Leukemia, B-Cell, Acute",PROCESS_OF,Young adult
NCT03390387,Maintenance therapy,PREVENTS,Infection
NCT03390387,Induction,PREVENTS,Infection
NCT03390387,Compliance behavior,PROCESS_OF,Adolescent
NCT03390387,Compliance behavior,PROCESS_OF,Young adult
NCT03390387,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
NCT03390387,bortezomib,TREATS,Patients
NCT03390387,bortezomib,TREATS(INFER),"Leukemia, B-Cell, Acute"
NCT03390387,Daunorubicin,TREATS,Patients
NCT03390387,Induction,TREATS,Patients
NCT03390387,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT03390387,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
