PMID,Sentence,Subject,Predicate,Object
10674894,In order to explore the possibility that clonal diversity plays a biological role during disease progression we optimised methods for subclone detection and analysed the prognostic significance of clonal diversity among 75 children with B precursor-ALL.,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
10674894,The majority of paediatric B precursor acute lymphoblastic leukaemias in children are derived from a single transformed haematopoietic cell with complete or partial VDJ recombination within the immunoglobulin heavy chain gene.,"Leukemia, Lymphocytic, Acute, L1",PROCESS_OF,Child
10674894,In order to explore the possibility that clonal diversity plays a biological role during disease progression we optimised methods for subclone detection and analysed the prognostic significance of clonal diversity among 75 children with B precursor-ALL.,Disease Progression,PROCESS_OF,Child
10870310,"Chromosomal translocation was identified in 24 (36.4%) of the ALL patients, 17 of whom had recurrent translocations including 10 with CD10+ B-precursor ALL [4 with t(9;22), 5 with t(1;19), and 1 infant with t(8;14)(q24;q11)], one neonate with CD10- early pre-B ALL with t(4;11), three B-cell cases with t(8;14), and three T-cell cases [2 with t(11;19)(q23;p13), and 1 (11;14)(p13;q11)].",Chromosomal translocation,PROCESS_OF,Infant
10870310,"Chromosomal translocation was identified in 24 (36.4%) of the ALL patients, 17 of whom had recurrent translocations including 10 with CD10+ B-precursor ALL [4 with t(9;22), 5 with t(1;19), and 1 infant with t(8;14)(q24;q11)], one neonate with CD10- early pre-B ALL with t(4;11), three B-cell cases with t(8;14), and three T-cell cases [2 with t(11;19)(q23;p13), and 1 (11;14)(p13;q11)].","Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
10870310,"Chromosomal translocation was identified in 24 (36.4%) of the ALL patients, 17 of whom had recurrent translocations including 10 with CD10+ B-precursor ALL [4 with t(9;22), 5 with t(1;19), and 1 infant with t(8;14)(q24;q11)], one neonate with CD10- early pre-B ALL with t(4;11), three B-cell cases with t(8;14), and three T-cell cases [2 with t(11;19)(q23;p13), and 1 (11;14)(p13;q11)].","Leukemia, Lymphocytic, Acute",PROCESS_OF,Infant
10870310,"Chromosomal translocation was identified in 24 (36.4%) of the ALL patients, 17 of whom had recurrent translocations including 10 with CD10+ B-precursor ALL [4 with t(9;22), 5 with t(1;19), and 1 infant with t(8;14)(q24;q11)], one neonate with CD10- early pre-B ALL with t(4;11), three B-cell cases with t(8;14), and three T-cell cases [2 with t(11;19)(q23;p13), and 1 (11;14)(p13;q11)].",Precursor B-cell lymphoblastic leukemia,PROCESS_OF,"Infant, Newborn"
10870310,"Chromosomal translocation was identified in 24 (36.4%) of the ALL patients, 17 of whom had recurrent translocations including 10 with CD10+ B-precursor ALL [4 with t(9;22), 5 with t(1;19), and 1 infant with t(8;14)(q24;q11)], one neonate with CD10- early pre-B ALL with t(4;11), three B-cell cases with t(8;14), and three T-cell cases [2 with t(11;19)(q23;p13), and 1 (11;14)(p13;q11)].","Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
10870310,"Chromosomal translocation was identified in 24 (36.4%) of the ALL patients, 17 of whom had recurrent translocations including 10 with CD10+ B-precursor ALL [4 with t(9;22), 5 with t(1;19), and 1 infant with t(8;14)(q24;q11)], one neonate with CD10- early pre-B ALL with t(4;11), three B-cell cases with t(8;14), and three T-cell cases [2 with t(11;19)(q23;p13), and 1 (11;14)(p13;q11)].",Chromosomal translocation,PROCESS_OF,Patients
10870481,The value of interphase fluorescence in situ hybridization for the detection of translocation t(12;21) in childhood acute lymphoblastic leukemia.,Detection,TREATS,"Leukemia, Lymphocytic, Acute, L1"
10870481,The value of interphase fluorescence in situ hybridization for the detection of translocation t(12;21) in childhood acute lymphoblastic leukemia.,Fluorescent in Situ Hybridization,METHOD_OF,Detection
11331732,We report a case of lymphomatoid granulomatosis with onset after the completion of chemotherapy for childhood acute lymphoblastic leukemia.,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute, L1"
11373717,"Although age, initial white blood cell count, and central nervous system or testicular disease are all important prognostic factors, cytogenetic abnormalities have now emerged as the single most important prognostic factor for children with ALL.",Testicular Diseases,AFFECTS,Child
11373717,"Although age, initial white blood cell count, and central nervous system or testicular disease are all important prognostic factors, cytogenetic abnormalities have now emerged as the single most important prognostic factor for children with ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11373717,"The survival for children with acute lymphoblastic leukemia (ALL) has increased from 3% to greater than 70% in the last 30 years, with some patients achieving 95% survival.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11552712,OBJECTIVE: Acute lymphoblastic leukemia (ALL) among children may be a rare outcome of a delayed non-specific infection in situations of overall low herd immunity.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
11681411,We investigated the relationships between the TPMT locus (TPMT activity and genotype) and the pharmacological response to 6-MP during maintenance therapy of 78 children with acute lymphoblastic leukemia (ALL).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
