Source Type,Source,Subject,Object,Predicate
PMID,12036898.0,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
PMID,12036898.0,Child,CDKN2A gene | CDKN2A,LOCATION_OF
PMID,27502091.0,"Leukemia, Lymphocytic, Acute, L1",Adolescent,PROCESS_OF
PMID,27502091.0,"Leukemia, Lymphocytic, Acute, L1",Child,PROCESS_OF
PMID,28983018.0,"Leukemia, Lymphocytic, Acute",Adolescent,PROCESS_OF
PMID,28983018.0,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
PMID,28983018.0,Drug Kinetics,Young adult,PROCESS_OF
PMID,28983018.0,Drug Kinetics,Adolescent,PROCESS_OF
PMID,28983018.0,Drug Kinetics,Child,PROCESS_OF
PMID,28983018.0,"Leukemia, Lymphocytic, Acute",Young adult,PROCESS_OF
PMID,28809761.0,Hematologic Neoplasms,Child,PROCESS_OF
PMID,28809761.0,"Leukemia, B-Cell, Acute",Hematologic Neoplasms,ISA
PMID,28809761.0,"Leukemia, B-Cell, Acute",Child,PROCESS_OF
PMID,28983018.0,Pharmacotherapy,Child,TREATS
PMID,28983018.0,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
PMID,28983018.0,Pharmacotherapy,"Leukemia, Lymphocytic, Acute",TREATS
PMID,29417201.0,Therapeutic procedure,RFP2 gene,USES
PMID,29417201.0,Therapeutic procedure,Pharmacotherapy,compared_with
PMID,29417201.0,Induction,"Leukemia, Lymphocytic, Acute",TREATS
PMID,29417201.0,leukemia,Patients,PROCESS_OF
PMID,29417201.0,"Leukemia, Lymphocytic, Acute",Patients,PROCESS_OF
PMID,29417201.0,"Receptors, Antigen",T-Lymphocyte,AFFECTS
PMID,29417201.0,Transplanted organ and tissue status,Patients,PROCESS_OF
PMID,29417201.0,Therapeutic procedure,"Leukemia, Lymphocytic, Acute",TREATS
NCT,NCT03020030,Malignant Neoplasms,Child,PROCESS_OF
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Malignant Neoplasms,ISA
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF(SPEC)
NCT,NCT03020030,Cells,Malignant Neoplasms,LOCATION_OF
NCT,NCT03020030,Disease,Child,PROCESS_OF
NCT,NCT03020030,Disease,Adolescent,PROCESS_OF
NCT,NCT03020030,Therapeutic procedure,"Leukemia, Lymphocytic, Acute",TREATS
NCT,NCT03020030,Pharmaceutical Preparations,Child,NEG_TREATS
NCT,NCT03020030,Pharmaceutical Preparations,Adolescent,NEG_TREATS
NCT,NCT03020030,Pharmaceutical Preparations,"Leukemia, Lymphocytic, Acute",NEG_TREATS(INFER)
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Adolescent,PROCESS_OF
NCT,NCT03020030,Therapeutic procedure,Child,ADMINISTERED_TO
NCT,NCT03020030,Therapeutic procedure,Adolescent,ADMINISTERED_TO
NCT,NCT03020030,Blood,pegaspargase,LOCATION_OF
NCT,NCT03020030,Therapeutic procedure,"Leukemia, Lymphocytic, Acute",TREATS
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
NCT,NCT03020030,Therapeutic procedure,Child,TREATS
NCT,NCT03020030,Therapeutic procedure,"Leukemia, Lymphocytic, Acute",TREATS(INFER)
NCT,NCT03020030,Blood,leukemia,LOCATION_OF
NCT,NCT03020030,Cells,Genetic Materials,LOCATION_OF
NCT,NCT03020030,Chromosomes,leukemia,LOCATION_OF
NCT,NCT03020030,Leukemic Cell,leukemia,LOCATION_OF
NCT,NCT03020030,Marrow,leukemia,LOCATION_OF
NCT,NCT03020030,leukemia,Child,PROCESS_OF
NCT,NCT03020030,Genes,Leukemic Cell,PART_OF
NCT,NCT03020030,Therapeutic procedure,Participant,TREATS
NCT,NCT03020030,Therapeutic procedure,Participant,TREATS
NCT,NCT03020030,Pharmaceutical Preparations,"Leukemia, Lymphocytic, Acute",TREATS
NCT,NCT03020030,pegaspargase,Pharmaceutical Preparations,ISA
NCT,NCT03020030,pegaspargase,"Leukemia, Lymphocytic, Acute",TREATS(SPEC)
NCT,NCT03020030,Therapeutic procedure,Adverse effects,CAUSES
NCT,NCT03020030,Blood,pegaspargase,LOCATION_OF
NCT,NCT03020030,Pharmaceutical Preparations,pegaspargase,compared_with
NCT,NCT03020030,Pharmaceutical Preparations,pegaspargase,higher_than
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Child,PROCESS_OF
NCT,NCT03020030,"Leukemia, Lymphocytic, Acute",Adolescent,PROCESS_OF
NCT,NCT00042341,"Leukemia, Lymphocytic, Acute",Adult,PROCESS_OF
NCT,NCT00042341,clofarabine,Therapeutic procedure,ISA
NCT,NCT00042341,clofarabine,Injection procedure,ISA
NCT,NCT00042341,clofarabine,"Leukemia, Lymphocytic, Acute",TREATS
NCT,NCT00042341,Medication Management,Therapeutic procedure,METHOD_OF
