Section,Subject,Predicate,Object
Introduction,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute, L1"
Introduction,Therapeutic procedure,TREATS,Patients
Introduction,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
Epidemiology,Spontaneous abortion,PROCESS_OF,Child
Epidemiology,Malignant Neoplasms,PROCESS_OF,Child
Epidemiology,"Leukemia, Myelocytic, Acute",PROCESS_OF,Boys
Epidemiology,Immunophenotyping,USES,Therapeutic procedure
Epidemiology,Hispanics,ISA,Ethnic group
Epidemiology,Prognosis bad,PROCESS_OF,European American
Epidemiology,Malignant Childhood Neoplasm,OCCURS_IN,African American
Epidemiology,Malignant Childhood Neoplasm,OCCURS_IN,European American
Epidemiology,Malignant Childhood Neoplasm,PROCESS_OF,Boys
Epidemiology,Maternal history,PROCESS_OF,Child
Epidemiology,High weight,PROCESS_OF,Child
Genetics,Chromosome Fragility,COEXISTS_WITH,Autosome Disorders
Genetics,Down Syndrome,PROCESS_OF,Child
Genetics,Genes,AFFECTS,Transcriptional Regulation
Genetics,leukemia,OCCURS_IN,Monozygotic twins
Genetics,Patients,USES,Subtype
Genetics,methotrexate polyglutamate,AFFECTS,response
Genetics,Germ-Line Mutation,PROCESS_OF,Child
Genetics,Ataxia Telangiectasia,PROCESS_OF,Child
Genetics,Fanconi's Anemia,PROCESS_OF,Patients
Genetics,"Leukemia, Myelocytic, Acute",PROCESS_OF,Patients
Genetics,leukemia,PROCESS_OF,sibling
Genetics,TP53 gene,ASSOCIATED_WITH,Li-Fraumeni Syndrome
Genetics,Li-Fraumeni Syndrome,COEXISTS_WITH,Malignant Neoplasms
Genetics,Hematopoiesis,AFFECTS,Predisposition
Genetics,TRANSCRIPTION FACTOR,STIMULATES,Genes
Genetics,Clone Cells,LOCATION_OF,clonality
Genetics,Clone Cells,PART_OF,Recombinants
Genetics,leukemia,NEG_PROCESS_OF,Child
Genetics,Chromosomal translocation,PROCESS_OF,"Infant, Newborn"
Genetics,Heel stick,AFFECTS,Leukemogenesis
Genetics,Disease,PREDISPOSES,leukemia
Genetics,leukemia,OCCURS_IN,Monozygotic twins
Genetics,leukemia,PROCESS_OF,Child
Genetics,leukemia,PROCESS_OF,Family
Genetics,Cord blood specimen,LOCATION_OF,"RNA, Messenger"
Genetics,Leukemogenesis,AFFECTS,Disease
Genetics,Acute leukemia,PROCESS_OF,Monozygotic twins
Pathogenesis,"Lymphoma, Non-Hodgkin's",ISA,Malignant Neoplasms
Pathogenesis,"Leukemia, Myelocytic, Acute",PROCESS_OF,Adult
Pathogenesis,leukemia,OCCURS_IN,Survivors
Pathogenesis,leukemia,OCCURS_IN,Adult
Pathogenesis,"Leukemia, Myelocytic, Acute",OCCURS_IN,Adult
Pathogenesis,leukemia,NEG_OCCURS_IN,Child
Pathogenesis,leukemia,PROCESS_OF,Child
Pathogenesis,Organ,LOCATION_OF,Toxic effect
Pathogenesis,Imaging problem,PREDISPOSES,leukemia
Pathogenesis,leukemia,PROCESS_OF,Human
Pathogenesis,Virus Diseases,COEXISTS_WITH,Pathogenesis
Pathogenesis,Infection,PROCESS_OF,Individual
Pathogenesis,Malignant Neoplasms,AFFECTS,"Herpesvirus 4, Human"
Pathogenesis,T-Lymphocyte,PART_OF,Adult
Pathogenesis,Acquired Immunodeficiency Syndrome,PROCESS_OF,Patients
Pathogenesis,Malignant Neoplasms,COEXISTS_WITH,HIV Infections
Pathogenesis,Therapeutic procedure,ADMINISTERED_TO,Patients
Pathogenesis,Therapeutic procedure,USES,Pharmaceutical Preparations
Pathogenesis,Congenital immunodeficiency disease,PROCESS_OF,Child
Pathogenesis,Congenital hypogammaglobulinemia,PREDISPOSES,Malignant lymphoid neoplasm
Pathogenesis,Immunoglobulins,PART_OF,Patients
Pathogenesis,Serum,LOCATION_OF,Immunoglobulins
Pathogenesis,leukemia,ISA,Disease
Pathogenesis,Therapeutic procedure,AFFECTS,leukemia
Pathogenesis,Complication,AFFECTS,Leukemogenesis
Pathogenesis,Cells,PART_OF,Child
Pathogenesis,Malignant transformation,CAUSES,Malignant lymphoid neoplasm
Pathogenesis,Chromosomal translocation,COEXISTS_WITH,"Leukemia, B-Cell, Acute"
Pathogenesis,clonality,DIAGNOSES,"Leukemia, B-Cell, Acute"
Pathogenesis,Leukemic Cell,LOCATION_OF,Immunoglobulin Heavy Chains
Pathogenesis,Leukemic Cell,LOCATION_OF,T-Cell Receptor
Pathogenesis,Neoplasm,PROCESS_OF,Mus
Pathogenesis,6-Mercaptopurine,DISRUPTS,Leukemic Cell
Pathogenesis,Clone,PART_OF,Dysmyelopoietic Syndromes
Classification of ALL,"Leukemia, B-Cell, Acute",ISA,Lymphoma
Classification of ALL,Cytoplasm,PART_OF,lymphoblast
Classification of ALL,size,LOCATION_OF,Cells
Classification of ALL,Cytoplasmic,LOCATION_OF,Basophilia
Classification of ALL,Monoclonal Antibodies,COEXISTS_WITH,Enzymes
Classification of ALL,Immunophenotyping,ISA,Diagnosis
Classification of ALL,Monoclonal Antibodies,INTERACTS_WITH,Antigens
Classification of ALL,"Leukemia, B-Cell, Acute",PROCESS_OF,Research Personnel
Classification of ALL,leukemia,PRODUCES,Antigens
Classification of ALL,ALANINE AMINOPEPTIDASE,ISA,Antigens
Classification of ALL,ALANINE AMINOPEPTIDASE,ASSOCIATED_WITH,"Leukemia, B-Cell, Acute"
Classification of ALL,MPO gene,ASSOCIATED_WITH,"Leukemia, B-Cell, Acute"
Classification of ALL,"Interleukin 2 Receptor, Alpha",PRODUCES,ALANINE AMINOPEPTIDASE
Classification of ALL,Antigens,PART_OF,Mature B-Lymphocyte
Molecular Genetics of ALL,"Genetics, Molecular",ISA,Biology
Molecular Genetics of ALL,Mutation,AFFECTS,Signal Pathways
Molecular Genetics of ALL,Phosphotransferases,ISA,Proteins
Molecular Genetics of ALL,Phosphotransferases,PART_OF(SPEC),Proto-Oncogenes
Molecular Genetics of ALL,Proteins,ISA,Phosphotransferases
Molecular Genetics of ALL,Proteins,PART_OF,Proto-Oncogenes
Molecular Genetics of ALL,TRANSCRIPTION FACTOR,AFFECTS,Leukemogenesis
Molecular Genetics of ALL,Comparative Genomic Hybridization,DIAGNOSES,Loss of Heterozygosity
Molecular Genetics of ALL,genome sequencing,USES,Tool
Molecular Genetics of ALL,Blast Cell,PART_OF,Bone Marrow
Molecular Genetics of ALL,"Chromosomes, Human, Pair 4",LOCATION_OF,Trisomy
Molecular Genetics of ALL,Hyperploidy,COEXISTS_WITH,Trisomy
Molecular Genetics of ALL,"Leukemia, B-Cell, Acute",PART_OF,Patients
Molecular Genetics of ALL,Chromosome abnormality,COEXISTS_WITH,"Leukemia, Myelocytic, Acute"
Molecular Genetics of ALL,"Chromosomes, Human, Pair 8",PART_OF,lymphoblast
Molecular Genetics of ALL,c-myc Genes,AFFECTS,Cell Growth
Molecular Genetics of ALL,Cells,LOCATION_OF,"Leukemia, B-Cell, Acute"
Molecular Genetics of ALL,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
Molecular Genetics of ALL,lymphoblast,LOCATION_OF,Trisomy 8
Molecular Genetics of ALL,Neoplasm,PROCESS_OF,Patients
Molecular Genetics of ALL,TP53 gene,TREATS,Malignant Neoplasms
Molecular Genetics of ALL,Fusion Protein,INTERACTS_WITH,Carcinogens
Molecular Genetics of ALL,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
Molecular Genetics of ALL,Polymerase Chain Reaction,DIAGNOSES,"Leukemia, B-Cell, Acute"
